seed,study_name,best_value,best_params
42,Quadruped Jumping Optimization,3.0136394143136167,"{""f0"": 2.275650067589716, ""Fy"": 179.72168113290707, ""Fz"": 117.96377899690889}"
24,Quadruped Jumping Optimization,2.8996119468454373,"{""f0"": 2.5329975047963744, ""Fy"": 157.25092293288938, ""Fz"": 112.84211093768623}"
19,Quadruped Jumping Optimization,2.8818306442329655,"{""f0"": 2.5322255102780433, ""Fy"": 169.56591734348035, ""Fz"": 107.66848455682009}"
14,Quadruped Jumping Optimization,2.84864097522895,"{""f0"": 2.7890116249989947, ""Fy"": 162.88358809732745, ""Fz"": 109.04654406388931}"
1,Quadruped Jumping Optimization,2.9989578738115767,"{""f0"": 2.421171970004121, ""Fy"": 177.30811626825528, ""Fz"": 115.48722303683286}"
37,Quadruped Jumping Optimization,2.9802606821049538,"{""f0"": 2.9939452762382857, ""Fy"": 176.36379523172715, ""Fz"": 114.19896946565792}"
15,Quadruped Jumping Optimization,2.908347372775221,"{""f0"": 2.6931402593922003, ""Fy"": 179.89787928522696, ""Fz"": 105.77936437037016}"
9,Quadruped Jumping Optimization,3.0019537368991416,"{""f0"": 2.5931829736722323, ""Fy"": 175.10536132832212, ""Fz"": 115.21980552756439}"
