seed,study_name,best_value,best_params
42,Quadruped Jumping Optimization,0.5053001463883093,"{""f0"": 3.1618566335749394, ""Fx"": 199.51350152452693, ""Fz"": 169.21072592303315}"
24,Quadruped Jumping Optimization,0.5026970457157319,"{""f0"": 3.281509561067931, ""Fx"": 199.61312254098277, ""Fz"": 235.29085087723215}"
19,Quadruped Jumping Optimization,0.5273291827946195,"{""f0"": 2.3821779002740753, ""Fx"": 196.44032694913307, ""Fz"": 151.88765170816768}"
14,Quadruped Jumping Optimization,0.5180399349578885,"{""f0"": 2.6559074164890673, ""Fx"": 194.64954161808825, ""Fz"": 141.01574160285654}"
1,Quadruped Jumping Optimization,0.510108147647168,"{""f0"": 2.9189900179705446, ""Fx"": 197.32241821553623, ""Fz"": 167.58866693700585}"
37,Quadruped Jumping Optimization,0.4953216825168778,"{""f0"": 3.012063755586334, ""Fx"": 198.8282811053127, ""Fz"": 225.00720076077968}"
15,Quadruped Jumping Optimization,0.4999662007286818,"{""f0"": 3.5248628317743935, ""Fx"": 199.89923486199183, ""Fz"": 228.8471218774357}"
9,Quadruped Jumping Optimization,0.528001276652807,"{""f0"": 3.1066599286084315, ""Fx"": 199.60635966216174, ""Fz"": 156.15121287500804}"
