seed,study_name,best_value,best_params
42,Quadruped Jumping Optimization,0.41308060563370486,"{""f0"": 2.4469872242469295, ""Fy"": 166.74710973091592, ""Fz"": 143.41135021231855}"
24,Quadruped Jumping Optimization,0.41469142600905895,"{""f0"": 5.071840081212801, ""Fy"": 132.0519283565193, ""Fz"": 118.32073765417576}"
19,Quadruped Jumping Optimization,0.9935521146980212,"{""f0"": 2.051500967268973, ""Fy"": 198.74044039583467, ""Fz"": 101.58456657982161}"
14,Quadruped Jumping Optimization,0.6573129037690078,"{""f0"": 2.3904487113038395, ""Fy"": 191.78091704205127, ""Fz"": 133.4085713469654}"
1,Quadruped Jumping Optimization,0.43881209308720603,"{""f0"": 2.240475572598508, ""Fy"": 181.14602394971132, ""Fz"": 141.88344903579377}"
